account_id,adset_id,name,status,spend,revenue,roi,epl,epc,action,reason
act_1172700037197465,120238753836530346,BM5_1_AUTOI9-FP-T-AUTO_EmergencyOrder_Lucas_RS,ACTIVE,0.0,0.0,0.0,,,KEEP,Regla 2: Spend $0.00 < $20.0
act_1172700037197465,120238753836510346,BM5_1_AUTOI9-FP-T-AUTO_LongestShotdown_Lucas_RS,ACTIVE,0.0,0.0,0.0,,,KEEP,Regla 2: Spend $0.00 < $20.0
act_1172700037197465,120238699543820346,BM5_1_AUTOI9-FP-T-AUTO_ChecksV3_Agostina_RS,ACTIVE,0.0,0.0,0.0,,,KEEP,Regla 2: Spend $0.00 < $20.0
act_1172700037197465,120238699543710346,BM5_1_AUTOI9-FP-T-AUTO_Checks_Agostina_RS,ACTIVE,0.0,0.0,0.0,,,KEEP,Regla 2: Spend $0.00 < $20.0
act_1172700037197465,120238469632740346,BM5_1_AUTOI9-FP-T-Auto_HarrasingGroceries_Clara_RS,ACTIVE,1.69,0.0,-100.0,,,KEEP,Regla 2: Spend $1.69 < $20.0
act_1172700037197465,120238402025070346,BM5_1_AUTOI9-FP-AUTO_HeAskedHerv1_Daniel-CC2_RS,ACTIVE,0.0,0.0,0.0,,,KEEP,Regla 2: Spend $0.00 < $20.0
act_1172700037197465,120238402024980346,BM5_1_AUTOI9-FP-AUTO_HeAskedHerv1_Daniel-BC_RS,ACTIVE,0.45,0.0,-100.0,,,KEEP,Regla 2: Spend $0.45 < $20.0
act_1172700037197465,120238401691670346,BM5_1_AUTOI9-FP-T-AUTO_ReverseDollar_Agostina_RS,ACTIVE,0.0,0.0,0.0,,,KEEP,Regla 2: Spend $0.00 < $20.0
act_1172700037197465,120238401691270346,BM5_1_AUTOI9-FP-T-Auto_PodcastInterview_Clara_RS,ACTIVE,0.0,0.0,0.0,,,KEEP,Regla 2: Spend $0.00 < $20.0
act_1172700037197465,120238144354740346,BM5_1_AUTOI9-FP-T-AUTO_AirrynLovesICE2_Dante_RS,ACTIVE,0.0,0.0,0.0,,,KEEP,Regla 2: Spend $0.00 < $20.0
act_1172700037197465,120237415463790346,BM5_1_AUTOISF-FP-AUTO_SenInsruance_3_Manel_RS,ACTIVE,0.0,0.0,0.0,,,KEEP,Regla 2: Spend $0.00 < $20.0
act_1172700037197465,120236189861590346,BM5_1_AUTOI9-FP-T-AUTO_AllAmericansV4_Daniel_RS,ACTIVE,0.0,0.0,0.0,,,KEEP,Regla 2: Spend $0.00 < $20.0
act_1172700037197465,120236189861470346,BM5_1_AUTOI9-FP-T-Auto_PolicyReform_Agustin_RS,ACTIVE,0.0,0.0,0.0,,,KEEP,Regla 2: Spend $0.00 < $20.0
act_1192065285119034,120240036144200668,BM5_1_AUTOI10-FP-T-AUTO_73yearold_v1_Daniel_RS,ACTIVE,62.5,89.51,43.21600000000001,,,KEEP,Regla 1: Spend $62.50 >= $20.0 y ROI 43.22% > 0
act_1191638479359701,120236771655430637,BM5_1_AUTOI11-FP-T-AUTO_TaxRefunds_Agostina_RS,ACTIVE,17.92,0.0,-100.0,,,KEEP,Regla 2: Spend $17.92 < $20.0
